history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;03.01.2023;Индекс МосБиржи;Индекс МосБиржи;2172,68;2157,18;2174,23;2157,18;12690309378,95;0;0;2;10587205427528,945;RUB;4872878799,5272;3;;03.01.2023;
SNDX;IMOEX;04.01.2023;Индекс МосБиржи;Индекс МосБиржи;2168,42;2171,54;2179,56;2162,06;11510044721,05;0;0;2;10566458572232,715;RUB;4872878799,5272;3;;04.01.2023;
SNDX;IMOEX;05.01.2023;Индекс МосБиржи;Индекс МосБиржи;2156,67;2170,4;2171,94;2154,16;9783315405;0;0;2;10509198790874,674;RUB;4872878799,5272;3;;05.01.2023;
SNDX;IMOEX;06.01.2023;Индекс МосБиржи;Индекс МосБиржи;2156,39;2157,32;2160,08;2153,32;7622557637,8;0;0;2;10507820085549,648;RUB;4872878799,5272;3;;06.01.2023;
SNDX;IMOEX;09.01.2023;Индекс МосБиржи;Индекс МосБиржи;2163,5;2163,43;2169,71;2162,01;18179113212,1;0;0;2;10542458891228,162;RUB;4872878799,5272;3;;09.01.2023;
SNDX;IMOEX;10.01.2023;Индекс МосБиржи;Индекс МосБиржи;2159,51;2162,7;2162,92;2145,14;14600174654,45;0;0;2;10523040550266,934;RUB;4872878799,5272;3;;10.01.2023;
SNDX;IMOEX;11.01.2023;Индекс МосБиржи;Индекс МосБиржи;2186,98;2156,28;2190,4;2153,55;35257346290,55;0;0;2;10656881539701,537;RUB;4872878799,5272;3;;11.01.2023;
SNDX;IMOEX;12.01.2023;Индекс МосБиржи;Индекс МосБиржи;2185,93;2193,53;2194,8;2177,36;21456804414;0;0;2;10651792146929,168;RUB;4872878799,5272;3;;12.01.2023;
SNDX;IMOEX;13.01.2023;Индекс МосБиржи;Индекс МосБиржи;2199,94;2188,6;2204,18;2179,82;27688238742,05;0;0;2;10720048216694,314;RUB;4872878799,5272;3;;13.01.2023;
SNDX;IMOEX;16.01.2023;Индекс МосБиржи;Индекс МосБиржи;2224,9;2204,64;2224,9;2204,46;27333518945;0;0;2;10841688614949,182;RUB;4872878799,5272;3;;16.01.2023;
